Debbug/e_cond_ij_0/e,Debbug/e_cond_ij_0/gt,Debbug/e_cond_ij_1/e,Debbug/e_cond_ij_1/gt,Debbug/e_cond_ij_2/e,Debbug/e_cond_ij_2/gt,Debbug/e_cond_ij_3/e,Debbug/e_cond_ij_3/gt,Debbug/e_cond_ij_4/e,Debbug/e_cond_ij_4/gt,Debbug/e_i_cond_slash0/e,Debbug/e_i_cond_slash0/gt,Debbug/e_i_cond_slash1/e,Debbug/e_i_cond_slash1/gt,Debbug/e_i_cond_slash2/e,Debbug/e_i_cond_slash2/gt,Debbug/e_i_cond_slash3/e,Debbug/e_i_cond_slash3/gt,Debbug/e_i_cond_slash4/e,Debbug/e_i_cond_slash4/gt,Debbug/e_i_cond_slash5/e,Debbug/e_i_cond_slash5/gt,Debbug/e_joint/e,Debbug/e_joint/gt,Debbug/e_joint_i0/e,Debbug/e_joint_i0/gt,Debbug/e_joint_i1/e,Debbug/e_joint_i1/gt,Debbug/e_joint_i2/e,Debbug/e_joint_i2/gt,Debbug/e_joint_i3/e,Debbug/e_joint_i3/gt,Debbug/e_joint_i4/e,Debbug/e_joint_i4/gt,Debbug/e_joint_i5/e,Debbug/e_joint_i5/gt,Debbug/e_marg_i0/e,Debbug/e_marg_i0/gt,Debbug/e_marg_i1/e,Debbug/e_marg_i1/gt,Debbug/e_marg_i2/e,Debbug/e_marg_i2/gt,Debbug/e_marg_i3/e,Debbug/e_marg_i3/gt,Debbug/e_marg_i4/e,Debbug/e_marg_i4/gt,Debbug/e_marg_i5/e,Debbug/e_marg_i5/gt,Measures/dtc/e,Measures/dtc/gt,Measures/o_inf/e,Measures/o_inf/gt,Measures/tc/e,Measures/tc/gt,epoch,g_o_inf/i_x0/e,g_o_inf/i_x0/gt,g_o_inf/i_x1/e,g_o_inf/i_x1/gt,g_o_inf/i_x2/e,g_o_inf/i_x2/gt,g_o_inf/i_x3/e,g_o_inf/i_x3/gt,g_o_inf/i_x4/e,g_o_inf/i_x4/gt,g_o_inf/i_x5/e,g_o_inf/i_x5/gt,loss,loss_test,step
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1.45515639745689,,38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1.991773155333417,,39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1.6255669437446147,,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1.5400778259803773,,41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1.661810351439914,,42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1.5184823002032461,,43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1.7057212096701238,,44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1.7113551795112878,,45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1.5880523366454944,,46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1.6894255454473637,,47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1.2026732782592084,,48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1.7290184424458037,,49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1.6001927199259731,,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1.5528679581240086,,51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1.5646746308290753,,52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1.6553986566356282,,53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1.6444010016121213,,54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1.5273382397893536,,55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1.5894821459545303,,56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1.4953577518223016,56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01190606877207756,1.0917791932861967,,,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.005772344768047333,0.02345052029832928,,,,,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017678413540124893,1.0683286729878674,,,,,,,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.003958860877901316,0.14736860225061488,,,,,,,,,,,,,57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.001405869610607624,0.14736860225061488,,,,,,,,,,,57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0018884968012571335,0.14736860225061488,,,,,,,,,57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0010760677978396416,-0.12391808195228027,,,,,,,57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0009601344354450703,-0.12391808195228027,,,,,57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0012063891626894474,-0.12391808195228027,,,57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.537579298019409,1.4189385332046727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,,,,,,,,,,,-17.873456954956055,6.301831973114974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
,,,,,,,,,,-5.4291462898254395,1.1200200328268641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
-5.441770792007446,1.1957949818904634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5342900156974792,1.4189385332046727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,,,,,,,,,,,,,-22.137831687927246,6.301831973114974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
,,,,,,,,,,,,-1.53629070520401,1.1200200328268641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
,,-5.448869466781616,1.1957949818904634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.888139843940735,1.4189385332046727,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
